CommonName,Scientific Name,AOUcode,Habitat,seismic50mCNT,seismic100mCNT,seismicUnlCNT,pipeline50mCNT,pipeline100mCNT,pipelineUnlCNT,wellpad50mCNT,wellpad100mCNT,wellpadUnlCNT,seismic50m,seismic100m,seismicUnl,pipeline50m,pipeline100m,pipelineUnl,wellpad50m,wellpad100m,wellpadUnl
Palm Warbler,Setophaga palmorum,PAWA,SHR,79/65,123/120,130/132,0/0,0/0,0/0,1/0,1/0,1/0,1.00 (0.78-1.28),0.86 (0.70-1.05),0.80 (0.66-0.98),0.59 (0.39-0.91),0.70 (0.50-0.99),0.69 (0.50-0.96),1.07 (0.77-1.48),1.16 (0.90-1.50),1.13 (0.88-1.46)
Philadelphia Vireo,Vireo philadelphicus,PHVI,OLD,10/19,16/40,17/49,5/1,7/3,7/4,5/10,14/10,14/10,0.79 (0.44-1.44),0.72 (0.46-1.14),0.61 (0.40-0.94),4.38 (1.79-10.71),3.03 (1.44-6.38),2.43 (1.18-5.00),0.96 (0.48-1.95),1.65 (0.94-2.89),1.39 (0.81-2.41)
Pine Siskin,Cardeulis pinus,PISI,OLD,4/4,11/8,15/13,2/4,3/5,3/5,19/25,29/56,31/56,0.57 (0.20-1.65),0.72 (0.33-1.54),0.91 (0.46-1.78),1.67 (0.51-5.44),1.17 (0.42-3.28),1.17 (0.42-3.29),0.78 (0.35-1.73),0.45 (0.27-0.75),0.49 (0.30-0.78)
Red-breasted Nuthatch,Sitta canadensis,RBNU,OLD,10/16,24/55,42/78,3/5,7/16,7/16,4/26,21/35,23/36,0.79 (0.40-1.55),1.22 (0.79-1.89),1.57 (1.08-2.28),1.14 (0.43-3.00),0.99 (0.51-1.93),1.06 (0.57-1.97),0.15 (0.06-0.38),0.63 (0.39-1.00),0.67 (0.43-1.05)
Red-eyed Vireo,Vireo olivaceus,REVI,ALL,48/94,122/242,184/320,24/60,49/125,61/152,14/35,52/59,52/60,0.65 (0.47-0.91),0.71 (0.56-0.90),0.86 (0.71-1.05),0.73 (0.50-1.07),0.69 (0.53-0.91),0.74 (0.58-0.94),0.34 (0.20-0.56),0.79 (0.58-1.06),0.79 (0.59-1.05)
Rose-breasted Grosbeak,Pheucticus ludovicianus,RBGR,ALL,13/19,47/67,86/101,9/8,27/25,34/37,6/21,35/33,35/34,1.77 (0.99-3.14),1.55 (1.09-2.21),1.54 (1.14-2.07),2.13 (1.04-4.37),1.76 (1.17-2.65),1.45 (1.00-2.11),0.31 (0.14-0.69),0.95 (0.63-1.42),0.89 (0.60-1.31)
Ruby-crowned Kinglet,Regulus calendula,RCKI,OLD,232/112,422/217,558/361,1/11,19/43,21/47,3/7,10/7,10/7,1.26 (1.06-1.51),1.18 (1.03-1.35),1.26 (1.06-1.51),0.52 (0.27-0.98),0.87 (0.64-1.19),0.70 (0.52-0.94),0.56 (0.33-0.93),0.97 (0.71-1.33),0.97 (0.73-1.29)
Ruffed Grouse,Bonasa umbellus,RUGR,YOF,3/12,3/16,7/21,8/4,11/12,14/13,2/2,5/4,5/4,0.44 (0.14-1.39),0.25 (0.09-0.71),0.47 (0.22-1.00),5.56 (1.87-16.48),2.36 (1.20-4.64),2.67 (1.42-5.02),0.56 (0.10-3.29),1.25 (0.49-3.21),1.13 (0.43-2.93)
Solitary Sandpiper,Tringa solitaria,SOSA,AQU,2/0,12/5,19/5,1/0,1/1,2/1,0/0,0/0,0/0,2.15 (0.69-6.69),0.99 (0.51-1.93),1.30 (0.72-2.36),3.14 (0.94-10.47),1.48 (0.63-3.45),1.61 (0.76-3.40),0.56 (0.09-3.51),2.29 (1.03-5.09),2.86 (1.42-5.74)
Swainson's Thrush,Catharus ustulatus,SWTH,OLD,140/141,393/481,550/769,76/119,170/288,208/375,17/32,80/61,84/64,1.12 (0.90-1.39),1.11 (0.96-1.29),1.08 (0.94-1.23),1.47 (1.16-1.86),1.30 (1.11-1.52),1.17 (1.02-1.34),0.60 (0.40-0.91),1.28 (1.02-1.60),1.20 (0.97-1.49)
Swamp Sparrow,Melospiza georgiana,SWSP,SHR,5/1,17/3,20/8,0/0,0/0,0/0,0/0,0/0,0/0,1.17 (0.50-2.70),0.92 (0.53-1.59),0.55 (0.33-0.91),2.50 (0.86-7.24),1.66 (0.75-3.66),1.16 (0.63-2.14),1.36 (0.53-3.51),1.71 (0.92-3.17),1.41 (0.82-2.45)
Tennessee Warbler,Oreothlypis peregrina,TWEA,ALL,272/202,548/492,657/617,117/124,165/227,181/266,68/52,115/89,116/89,1.31 (1.10-1.55),1.16 (1.03-1.32),1.17 (1.04-1.31),1.86 (1.53-2.25),1.40 (1.21-1.63),1.33 (1.15-1.53),1.32 (1.05-1.68),1.19 (0.99-1.42),1.17 (0.98-1.39)
Warbling Vireo,Vireo gilvus,WAVI,OLD,10/19,28/38,33/40,16/13,24/17,25/18,7/14,27/24,27/24,0.62 (0.30-1.29),0.87 (0.50-1.51),0.95 (0.57-1.60),2.11 (1.10-4.05),2.07 (1.22-3.49),2.03 (1.22-3.40),0.60 (0.28-1.30),1.09 (0.67-1.76),1.06 (0.66-1.72)
Western Tanager,Piranga ludoviciana,WETA,OLD,7/24,26/106,43/160,3/12,12/34,18/49,1/11,9/16,9/16,1.01 (0.56-1.80),1.07 (0.72-1.60),1.11 (0.78-1.58),0.69 (0.28-1.71),0.81 (0.50-1.32),0.95 (0.63-1.41),0.13 (0.04-0.44),0.50 (0.27-0.90),0.55 (0.31-0.97)
White-throated Sparrow,Zonotrichia albicollis,WTSP,ALL,72/121,195/316,391/511,23/4,45/18,60/25,35/34,118/98,137/116,1.40 (1.06-1.86),1.07 (0.91-1.27),1.11 (0.97-1.26),1.72 (1.15-2.58),1.48 (1.15-1.92),1.53 (1.23-1.89),0.77 (0.55-1.09),1.01 (0.83-1.22),0.99 (0.84-1.18)
White-winged Crossbill,Loxia leucoptera,WWCR,OLD,291/428,765/693,839/761,52/51,94/115,96/116,0/0,1/12,2/12,4.33 (3.17-5.91),3.53 (2.90-4.30),2.81 (2.37-3.33),1.50 (1.11-2.04),1.29 (1.03-1.62),1.25 (1.00-1.56),0.10 (0.02-0.58),0.30 (0.13-0.66),0.37 (0.18-0.78)
Wilson's Warbler,Cardellina pusilla,WIWA,SHR,8/1,11/4,12/5,1/0,1/0,1/0,0/0,0/0,0/0,2.52 (0.80-7.96),1.33 (0.53-3.36),0.97 (0.43-2.22),1.35 (0.18-9.82),0.73 (0.11-4.77),0.87 (0.13-6.00),5.56 (1.32-23.36),5.35 (1.87-15.30),6.42 (2.23-18.45)
Winter Wren,Troglodytes hiemalis,WIWR,OLD,7/14,30/52,42/93,0/4,0/8,4/14,0/0,4/6,5/8,0.81 (0.40-1.69),0.95 (0.62-1.46),0.84 (0.59-1.20),,0.59 (0.28-1.15),0.82 (0.49-1.37),0.49 (0.08-3.00),0.55 (0.27-1.09),0.76 (0.43-1.35)
Yellow Warbler,Setophaga petechia,YWAR,SHR,8/11,12/13,15/16,0/1,0/1,1/1,19/16,37/22,37/22,1.19 (0.57-2.48),1.47 (0.77-2.81),1.30 (0.72-2.33),,,0.74 (0.13-4.25),1.16 (0.65-2.06),1.67 (1.04-2.66),1.68 (1.06-2.65)
Yellow-bellied Flycatcher,Empidonax flaviventris,YBFL,SHR,21/11,52/33,58/41,0/2,0/4,0/4,0/0,2/0,2/0,1.19 (0.66-2.14),1.14 (0.77-1.69),1.04 (0.71-1.54),1.09 (0.29-4.00),0.71 (0.25-2.08),0.55 (0.18-1.73),,0.79 (0.26-2.41),0.75 (0.24-2.38)
Yellow-bellied Sapsucker,Sphyrapicus varius,YBSA,OLD,23/46,47/109,67/138,18/22,30/40,38/50,5/9,23/16,24/18,0.94 (0.59-1.52),1.05 (0.73-1.52),1.02 (0.73-1.41),1.92 (1.20-3.05),1.62 (1.13-2.35),1.60 (1.15-2.21),0.79 (0.38-1.67),1.44 (0.92-2.26),1.35 (0.87-2.10)
Yellow-rumped Warbler,Setophaga coronata,YRWA,OLD,293/243,450/460,484/493,56/133,99/228,103/242,22/44,58/59,60/59,1.12 (0.97-1.29),1.04 (0.93-1.16),1.03 (0.93-1.16),0.99 (0.79-1.24),1.00 (0.84-1.18),1.01 (0.86-1.19),0.67 (0.50-0.91),0.99 (0.80-1.22),1.03 (0.84-1.27)
